K,n_experiment,delta,instance_type,env,agent,success_rate,reward_array,mean_stop_times,std_stop_times,delta_k_,beta_k_,alpha_k_,forced-stop,count_exceed_stop,count_success
100,1000,0.001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25]",70687.89,72.11695514856406,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65]",11428.365,183.54258255177461,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",12617.863,173.39840274417466,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.3530303  0.35606061 0.35909091 0.36212121 0.36515152
 0.36818182 0.37121212 0.37424242 0.37727273 0.38030303 0.38333333
 0.38636364 0.38939394 0.39242424 0.39545455 0.39848485 0.40151515
 0.40454545 0.40757576 0.41060606 0.41363636 0.41666667 0.41969697
 0.42272727 0.42575758 0.42878788 0.43181818 0.43484848 0.43787879
 0.44090909 0.44393939 0.4469697  0.45       0.4530303  0.45606061
 0.45909091 0.46212121 0.46515152 0.46818182 0.47121212 0.47424242
 0.47727273 0.48030303 0.48333333 0.48636364 0.48939394 0.49242424
 0.49545455 0.49848485 0.50151515 0.50454545 0.50757576 0.51060606
 0.51363636 0.51666667 0.51969697 0.52272727 0.52575758 0.52878788
 0.53181818 0.53484848 0.53787879 0.54090909 0.54393939 0.5469697
 0.55       0.5530303  0.55606061 0.55909091 0.56212121 0.56515152
 0.56818182 0.57121212 0.57424242 0.57727273 0.58030303 0.58333333
 0.58636364 0.58939394 0.59242424 0.59545455 0.59848485 0.60151515
 0.60454545 0.60757576 0.61060606 0.61363636 0.61666667 0.61969697
 0.62272727 0.62575758 0.62878788 0.63181818 0.63484848 0.63787879
 0.64090909 0.64393939 0.6469697  0.65      ]",20155.531,246.17468264839704,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.65]",33605.876,1460.131097462356,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",14124.829,170.60722843935716,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25]",79013.079,78.54561788387052,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65]",11670.275,184.02113036652884,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
100,1000,0.0001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",12864.182,172.82467791052295,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35612245 0.3622449  0.36836735 0.3744898  0.38061224
 0.38673469 0.39285714 0.39897959 0.40510204 0.41122449 0.41734694
 0.42346939 0.42959184 0.43571429 0.44183673 0.44795918 0.45408163
 0.46020408 0.46632653 0.47244898 0.47857143 0.48469388 0.49081633
 0.49693878 0.50306122 0.50918367 0.51530612 0.52142857 0.52755102
 0.53367347 0.53979592 0.54591837 0.55204082 0.55816327 0.56428571
 0.57040816 0.57653061 0.58265306 0.58877551 0.59489796 0.60102041
 0.60714286 0.61326531 0.61938776 0.6255102  0.63163265 0.6377551
 0.64387755 0.65      ]",12028.85,153.13611876856487,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",16100.883,205.61335535735756,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",8686.14,107.55542287769595,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",34082.483,50.41597688938498,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",7555.366,111.9047144406526,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",8019.55,104.02449171949844,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35612245 0.3622449  0.36836735 0.3744898  0.38061224
 0.38673469 0.39285714 0.39897959 0.40510204 0.41122449 0.41734694
 0.42346939 0.42959184 0.43571429 0.44183673 0.44795918 0.45408163
 0.46020408 0.46632653 0.47244898 0.47857143 0.48469388 0.49081633
 0.49693878 0.50306122 0.50918367 0.51530612 0.52142857 0.52755102
 0.53367347 0.53979592 0.54591837 0.55204082 0.55816327 0.56428571
 0.57040816 0.57653061 0.58265306 0.58877551 0.59489796 0.60102041
 0.60714286 0.61326531 0.61938776 0.6255102  0.63163265 0.6377551
 0.64387755 0.65      ]",12362.988,158.0190241706865,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",16346.937,206.26340692190414,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",8913.99,106.19555660148875,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",38238.734,52.74326003617903,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",7800.019,111.94385739574548,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
50,1000,0.0001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",8326.131,107.20184870532317,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35769231 0.36538462 0.37307692 0.38076923 0.38846154
 0.39615385 0.40384615 0.41153846 0.41923077 0.42692308 0.43461538
 0.44230769 0.45       0.45769231 0.46538462 0.47307692 0.48076923
 0.48846154 0.49615385 0.50384615 0.51153846 0.51923077 0.52692308
 0.53461538 0.54230769 0.55       0.55769231 0.56538462 0.57307692
 0.58076923 0.58846154 0.59615385 0.60384615 0.61153846 0.61923077
 0.62692308 0.63461538 0.64230769 0.65      ]",10625.781,129.0804744453591,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",13029.593,158.4134067096311,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7576.286,103.23057671157322,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",26946.718,47.48875606368311,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",6620.298,91.51614654909811,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7033.823,92.82484974224845,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35769231 0.36538462 0.37307692 0.38076923 0.38846154
 0.39615385 0.40384615 0.41153846 0.41923077 0.42692308 0.43461538
 0.44230769 0.45       0.45769231 0.46538462 0.47307692 0.48076923
 0.48846154 0.49615385 0.50384615 0.51153846 0.51923077 0.52692308
 0.53461538 0.54230769 0.55       0.55769231 0.56538462 0.57307692
 0.58076923 0.58846154 0.59615385 0.60384615 0.61153846 0.61923077
 0.62692308 0.63461538 0.64230769 0.65      ]",10900.689,127.45937630586067,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",13304.306,158.48673108611965,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7791.529,96.29457632265175,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",30301.342,49.52914167473529,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",6858.851,91.71058128045533,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
40,1000,0.0001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7304.639,94.117666294267,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
30,1000,0.001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.36034483 0.37068966 0.38103448 0.39137931 0.40172414
 0.41206897 0.42241379 0.43275862 0.44310345 0.45344828 0.4637931
 0.47413793 0.48448276 0.49482759 0.50517241 0.51551724 0.52586207
 0.5362069  0.54655172 0.55689655 0.56724138 0.57758621 0.58793103
 0.59827586 0.60862069 0.61896552 0.62931034 0.63965517 0.65      ]",8940.929,112.59573240562452,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
30,1000,0.001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.65]",10929.251,375.57957526468215,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
30,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",6619.37,84.12862495666978,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
